iter	Passed	Remaining
0	114	114252
1	115	57791
2	117	38925
3	118	29511
4	120	23895
5	121	20116
6	122	17434
7	124	15395
8	125	13816
9	127	12588
10	128	11558
11	129	10695
12	131	9968
13	132	9358
14	134	8819
15	135	8343
16	137	7922
17	138	7550
18	139	7219
19	141	6917
20	142	6643
21	143	6393
22	145	6167
23	146	5960
24	147	5768
25	149	5591
26	150	5424
27	151	5274
28	153	5136
29	154	5002
30	156	4879
31	157	4762
32	158	4654
33	160	4551
34	161	4454
35	162	4362
36	163	4261
37	165	4180
38	166	4105
39	168	4032
40	169	3962
41	170	3895
42	172	3832
43	173	3776
44	175	3719
45	176	3662
46	177	3609
47	179	3557
48	180	3507
49	182	3459
50	183	3412
51	184	3369
52	186	3326
53	187	3285
54	188	3245
55	190	3206
56	191	3170
57	192	3134
58	194	3099
59	195	3065
60	196	3032
61	198	3002
62	199	2971
63	201	2941
64	202	2912
65	203	2884
66	205	2858
67	206	2832
68	207	2806
69	209	2780
70	210	2756
71	212	2734
72	213	2711
73	214	2689
74	216	2666
75	217	2645
76	218	2624
77	220	2603
78	221	2582
79	222	2562
80	224	2543
81	225	2529
82	227	2511
83	228	2494
84	230	2476
85	231	2460
86	232	2444
87	234	2427
88	235	2410
89	236	2394
90	238	2379
91	239	2364
92	240	2349
93	242	2334
94	243	2320
95	244	2306
96	246	2292
97	247	2279
98	248	2265
99	250	2252
100	251	2240
101	253	2227
102	254	2215
103	255	2203
104	257	2191
105	258	2179
106	259	2168
107	261	2156
108	262	2145
109	263	2135
110	265	2123
111	266	2113
112	267	2102
113	269	2091
114	270	2081
115	271	2068
116	272	2059
117	274	2050
118	275	2041
119	277	2031
120	278	2023
121	279	2013
122	281	2004
123	282	1995
124	283	1986
125	285	1978
126	286	1969
127	288	1962
128	289	1955
129	290	1946
130	292	1939
131	293	1932
132	295	1924
133	296	1915
134	297	1908
135	299	1900
136	300	1893
137	302	1886
138	303	1880
139	305	1874
140	306	1868
141	308	1862
142	309	1857
143	311	1851
144	312	1845
145	314	1838
146	315	1832
147	317	1826
148	318	1820
149	320	1814
150	321	1808
151	323	1803
152	324	1797
153	326	1791
154	327	1786
155	329	1780
156	331	1777
157	332	1773
158	334	1768
159	335	1763
160	337	1758
161	338	1753
162	340	1747
163	341	1742
164	343	1737
165	345	1733
166	346	1729
167	348	1724
168	349	1719
169	351	1715
170	352	1710
171	354	1705
172	355	1700
173	357	1696
174	358	1691
175	360	1687
176	361	1682
177	363	1677
178	364	1673
179	366	1668
180	367	1663
181	369	1659
182	370	1655
183	372	1650
184	373	1646
185	375	1641
186	376	1637
187	378	1632
188	379	1628
189	380	1624
190	382	1619
191	384	1616
192	385	1611
193	387	1607
194	388	1604
195	390	1600
196	391	1596
197	393	1592
198	394	1588
199	396	1585
200	397	1581
201	399	1578
202	400	1573
203	402	1569
204	403	1566
205	405	1562
206	406	1558
207	408	1554
208	409	1550
209	411	1547
210	412	1543
211	414	1538
212	415	1535
213	416	1531
214	418	1527
215	419	1522
216	420	1519
217	422	1514
218	423	1511
219	425	1507
220	426	1503
221	427	1499
222	429	1495
223	430	1492
224	432	1488
225	433	1484
226	434	1480
227	436	1476
228	437	1473
229	439	1470
230	440	1467
231	442	1463
232	443	1460
233	444	1456
234	446	1452
235	447	1448
236	448	1445
237	450	1442
238	451	1438
239	453	1435
240	454	1431
241	455	1427
242	457	1424
243	458	1421
244	460	1417
245	461	1414
246	462	1410
247	464	1407
248	465	1404
249	466	1400
250	468	1397
251	469	1394
252	471	1390
253	472	1387
254	473	1384
255	475	1380
256	476	1378
257	478	1375
258	479	1372
259	481	1370
260	483	1367
261	484	1364
262	485	1361
263	487	1358
264	488	1354
265	490	1352
266	491	1349
267	493	1346
268	494	1343
269	496	1342
270	498	1339
271	499	1337
272	500	1334
273	502	1332
274	504	1330
275	506	1327
276	507	1324
277	509	1322
278	511	1320
279	512	1317
280	513	1314
281	515	1311
282	517	1309
283	518	1307
284	519	1304
285	521	1301
286	523	1299
287	524	1296
288	525	1293
289	527	1290
290	528	1288
291	530	1286
292	531	1283
293	533	1281
294	535	1279
295	537	1277
296	539	1276
297	540	1273
298	542	1271
299	544	1269
300	545	1267
301	547	1265
302	548	1262
303	550	1260
304	552	1257
305	553	1255
306	555	1253
307	557	1251
308	558	1248
309	560	1246
310	562	1247
311	565	1246
312	566	1244
313	569	1244
314	571	1242
315	573	1240
316	574	1238
317	576	1235
318	577	1232
319	578	1230
320	580	1227
321	582	1225
322	583	1223
323	584	1220
324	586	1217
325	587	1215
326	589	1213
327	590	1210
328	592	1207
329	594	1206
330	596	1204
331	597	1201
332	598	1199
333	600	1196
334	601	1194
335	603	1192
336	604	1189
337	605	1186
338	608	1186
339	609	1183
340	611	1181
341	612	1178
342	614	1176
343	615	1174
344	617	1171
345	618	1169
346	619	1166
347	621	1165
348	623	1162
349	624	1159
350	625	1157
351	628	1157
352	630	1155
353	631	1152
354	632	1149
355	634	1148
356	636	1146
357	637	1143
358	639	1141
359	640	1139
360	642	1137
361	644	1135
362	645	1132
363	646	1130
364	648	1128
365	650	1126
366	651	1123
367	652	1121
368	655	1120
369	656	1118
370	658	1115
371	659	1113
372	661	1112
373	663	1110
374	664	1107
375	665	1105
376	667	1103
377	669	1101
378	670	1099
379	672	1097
380	674	1095
381	676	1093
382	677	1091
383	678	1089
384	681	1087
385	682	1085
386	683	1083
387	685	1081
388	687	1079
389	688	1077
390	690	1074
391	691	1072
392	693	1070
393	694	1068
394	696	1066
395	697	1063
396	699	1061
397	700	1059
398	702	1057
399	703	1055
400	704	1052
401	706	1051
402	708	1048
403	709	1046
404	710	1044
405	712	1041
406	713	1040
407	715	1037
408	716	1035
409	717	1033
410	719	1031
411	721	1029
412	722	1026
413	723	1024
414	725	1022
415	726	1019
416	728	1017
417	729	1015
418	731	1013
419	732	1012
420	734	1010
421	735	1007
422	737	1005
423	738	1003
424	740	1001
425	741	999
426	743	997
427	744	994
428	746	993
429	747	991
430	749	989
431	750	986
432	752	985
433	754	983
434	755	981
435	756	978
436	758	976
437	759	975
438	761	973
439	762	971
440	764	968
441	766	967
442	767	965
443	768	962
444	770	960
445	772	959
446	774	957
447	775	955
448	776	953
449	778	951
450	780	949
451	781	947
452	782	945
453	784	942
454	786	941
455	787	939
456	789	938
457	791	936
458	792	934
459	794	932
460	795	930
461	796	927
462	799	927
463	801	925
464	802	923
465	804	921
466	806	920
467	807	918
468	809	916
469	810	914
470	812	912
